,a,b,c
15,0.00058021897,0.0014275268,0.043472961
30,0.00056794847,0.0015138625,0.04672951
45,0.00058118019,0.001452752,0.043908931
60,0.00059727542,0.0015007428,0.044626982
75,0.00061641693,0.0017599082,0.054736038
